"cluster"	"probability"	"Hist.comp"	"NFKBalt.RASalt.JAK.STAT.alt.RHOA.SGK1.KLH6.cd58.cd83"	"SumC4.mut"	"MYD88.L265"	"X18Q.AMP"	"COO..GCB.1.unclass.2.ABC.3.na."	"sumCNAs.C5"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"X9p21.3.DEL"	"X21Q.AMP"	"X2P16.1.AMP"	"GENOME_DOUBLING"	"TP53.biallelic"	"Sum.CNAs.C2"	"Pi3K.Mod"	"BCL2.comp"	"Chrom.Mod.Enzymes"	"MYD88.OTHER"	"SV.TP63"	"BLC10.NOTCH2.A20.SPEN"	"B2M.CD70.PD1.FAS.com"	"SV.BCL6"
"DLBCL_LS2154"	1	0.326554622921591	0	0.142857142857143	0.0833333333333333	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_478"	1	0.450159348467347	0	0	0	0	0.5	1	0.444444444444444	0.25	0	0	0	0	0	0.222222222222222	0	0	0	1	0	0.333333333333333	0	0
"DLBCL_LS3866"	1	0.491919906483545	0.2	0.142857142857143	0.166666666666667	0	0	0.5	0	0	0	0	0	0	0	0.037037037037037	0	0	0	0	0	0.333333333333333	0	0
"DLBCL_MC_F307_JPS"	1	0.529570470226693	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"DLBCL_RICOVER_575"	1	0.615204298859761	0.2	0	0.166666666666667	0	0	1.5	0.111111111111111	0	0	0	0	0	0	0.111111111111111	0.25	0	0	0	0	0.333333333333333	0.8	0
"DLBCL_RICOVER_910"	1	0.62567822040693	0.2	0	0.0833333333333333	0	0	1.5	0	0	0	0	0	0	0	0.037037037037037	0	0	0	0	0	0	0	0
"DLBCL_C_D_1132_NULLPAIR"	1	0.663270414488114	0	0.142857142857143	0.208333333333333	0	0	1.5	0	0	0	0	0	0	0	0.037037037037037	0	0	0	0	0	0.333333333333333	0.4	0
"DLBCL_C_D_1115_NULLPAIR"	1	0.687735243741416	0.2	0	0.166666666666667	0	0	1.5	0.111111111111111	0	0	0	1	0	0	0.148148148148148	0	0	0	0	0	0	0.6	0
"DLBCL_C_D_1106_NULLPAIR"	1	0.72700955547013	0.2	0	0.0833333333333333	0	0	1	0.222222222222222	0	1	0	0	0	0	0.333333333333333	0	0	0	0	0	0.666666666666667	0	1
"DLBCL_C_D_1156_NULLPAIR"	1	0.771208731371265	0.3	0	0.125	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"DLBCL_RICOVER_120"	1	0.771421837329899	0	0	0	0	0	1.5	0.222222222222222	0.25	0	0	0	0	0	0.148148148148148	0	0	0.333333333333333	0	0	0.333333333333333	0.4	1
"DLBCL_RICOVER_945"	1	0.781949652955903	0.4	0	0.166666666666667	0	0	1.5	0.222222222222222	0.25	0	0	0	0	0	0.296296296296296	0.25	0	0	0	0	0.333333333333333	0.4	0
"DLBCL_RICOVER_258"	1	0.783104408469262	0	0	0	0	0	1	0	0.5	0	0	0	0	0	0	0	0	0	1	0	0.666666666666667	0	0
"DLBCL_C_D_1112_NULLPAIR"	1	0.792914233667275	0	0.142857142857143	0.0833333333333333	0	0	0.5	0.222222222222222	0	0	0.5	0	0	0	0.111111111111111	0	0	0.333333333333333	0	1	0	0.4	0
"DLBCL_RICOVER_694"	1	0.81754321265469	0.2	0	0.0833333333333333	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	1
"DLBCL_C_D_1128_NULLPAIR"	1	0.820049324397386	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	1
"DLBCL_BWH_DLBCL64"	1	0.821313905622814	0.6	0.285714285714286	0.416666666666667	0	0	0.5	0	0	0	0	1	0	0	0.296296296296296	0	0	0.333333333333333	0	0	0	0	1
"DLBCL_LS4323"	1	0.836618382751344	0.2	0	0.0833333333333333	0	0	1.5	0	0	0	0	0	0	0.666666666666667	0.037037037037037	0	0	0	0	0	0.333333333333333	0	0
"DLBCL_C_D_1154_NULLPAIR"	1	0.840230374751876	0	0	0	0	0	1.5	0.111111111111111	0	0	0	0	0	0	0.148148148148148	0	0	0	0	1	0	0.4	0
"DLBCL_MC_F648_JKW"	1	0.840332187539504	0	0.142857142857143	0.166666666666667	0	0	1.5	0.222222222222222	0	0	0	0	0	0.666666666666667	0.148148148148148	0	0	0	0	0	0	0.4	1
"DLBCL_C_D_1158_NULLPAIR"	1	0.857150342410464	0.6	0	0.333333333333333	0	0	1	0.222222222222222	0	0	0	0	1	0	0.333333333333333	0.125	0	0.333333333333333	0	0	0	0.4	1
"DLBCL_LS2367"	1	0.860206123536007	0.1	0.285714285714286	0.208333333333333	0	0.5	0.5	0.222222222222222	0.25	0	0	0	0	0	0.185185185185185	0.25	0	0	0	0	0	0.4	1
"DLBCL_MC_F300_TBF"	1	0.867971927983692	0.2	0.142857142857143	0.166666666666667	0	0	0.5	0	0.5	0	0	0	0	0	0.0740740740740741	0	0.8	0.666666666666667	1	0	0.333333333333333	0	0
"DLBCL_RICOVER_1144"	1	0.881874880169977	0.2	0.142857142857143	0.25	1	0	1.5	0	0.5	0	0	0	0	0	0.037037037037037	0	0	0	1	0	0.333333333333333	0.4	1
"DLBCL_RICOVER_1150"	1	0.887400220643509	0.1	0.142857142857143	0.125	0	0.5	1.5	0.222222222222222	0.25	0	0.5	0	0	0	0.148148148148148	0	0	0	0	0	0	1	1
"DLBCL_C_D_1123_NULLPAIR"	1	0.887871845611837	0.2	0	0.166666666666667	0	0	1.5	0.111111111111111	0	0	0	0	0	0	0.222222222222222	0	0	0	0	0	0.666666666666667	1	1
"DLBCL_C_D_1146_NULLPAIR"	1	0.888570411117146	0.1	0.142857142857143	0.208333333333333	0	0	0.5	0	0	0	0	1	1	0	0.333333333333333	0	0	0	0	1	0	0.2	0
"DLBCL_MC_F139_AD"	1	0.889140605901288	0.4	0	0.5	0	0	1.5	0	0	0	0	0	0	0.666666666666667	0.037037037037037	0.25	0	0	0	0	0.333333333333333	0.4	1
"DLBCL_C_D_1114_NULLPAIR"	1	0.894291846953357	0.4	0	0.166666666666667	0	0	1.5	0	0.25	0	0	0	0	0	0.0740740740740741	0	0	0	1	0	0	0.4	1
"DLBCL_MC_F262_WLC"	1	0.894833249701997	0.2	0.142857142857143	0.166666666666667	0	0	1.5	0.111111111111111	0	0	0	0	0	0	0.037037037037037	0	0	0	0	0	0.666666666666667	0	1
"DLBCL_MAYO_DLBCL_5613"	1	0.896176108934248	0	0.142857142857143	0.0833333333333333	0	0	1.5	0.222222222222222	0	0	0	0	0	0	0.111111111111111	0	0	0	0	0	0.333333333333333	0.4	1
"DLBCL_C_D_1155_NULLPAIR"	1	0.896205854022392	0	0	0	0	0	1.5	0	0	0	0	1	0	0	0.111111111111111	0	0	0	0	0	0	0.4	1
"DLBCL_MC_F132_MLM"	1	0.899470459371396	0.2	0.142857142857143	0.166666666666667	0	0	1.5	0	0.5	0	0	0	0	0	0.037037037037037	0	0	0	1	0	0.666666666666667	0	1
"DLBCL_LS3809"	1	0.90120139823617	0	0	0	0	0.5	1.5	0.222222222222222	0.5	0	0.5	0	0	0	0.111111111111111	0	0	0	0	0	0	0.4	1
"DLBCL_RICOVER_826"	1	0.901519201829719	0.2	0.142857142857143	0.333333333333333	0	0	1.5	0.111111111111111	0.25	0	0	0	0	0.333333333333333	0.185185185185185	0.25	0	0	0	0	0.333333333333333	0.4	1
"DLBCL_RICOVER_473"	1	0.902417673915679	0.2	0	0.166666666666667	0	0	1.5	0.222222222222222	0.25	0	0	0	0	0	0.148148148148148	0	0	0.333333333333333	0	0	1	0	0
"DLBCL_RICOVER_451"	1	0.902942059860067	0	0.142857142857143	0.0833333333333333	0	0	1	0	0	0	0	0	0	0	0.222222222222222	0	0	0	0	0	1	0.8	0
"DLBCL_C_D_1129_NULLPAIR"	1	0.904258732254473	0	0	0	0	0.5	1.5	0.222222222222222	0	0	0	0	0	0	0.037037037037037	0.25	0	0	0	0	0.333333333333333	1	1
"DLBCL_LS378"	1	0.904436706993661	0.3	0	0.125	0	0	1	0	0.25	0	0	0	0	0	0.111111111111111	0	0	0.333333333333333	1	0	0.333333333333333	0.4	1
"DLBCL_LS1757"	1	0.904592470382537	0	0.285714285714286	0.166666666666667	0	0	1	0	0.25	0	0	0	0	0.333333333333333	0.259259259259259	0	0	0.333333333333333	1	1	0.333333333333333	0.8	1
"DLBCL_LS2978"	1	0.907271942502696	0.4	0	0.166666666666667	0	0	1.5	0	0.25	0	0	1	0	0.666666666666667	0.222222222222222	0	0	0	1	1	0	0.8	1
"DLBCL_RICOVER_865"	1	0.909365515013843	0.2	0.214285714285714	0.208333333333333	0	0	1.5	0.222222222222222	0	0	0	0	1	0.333333333333333	0.296296296296296	0.125	0	0	0	0	0.666666666666667	1	1
"DLBCL_RICOVER_181"	1	0.912920359873867	0.1	0.285714285714286	0.208333333333333	0	0.5	1	0.222222222222222	0.25	0	0	0	0	0	0.111111111111111	0	0	0.333333333333333	0	0	0.666666666666667	0	1
"DLBCL_C_D_1130_NULLPAIR"	1	0.914280179765815	0.2	0	0.0833333333333333	0	0	1.5	0	0	0	0	0	0	0	0.222222222222222	0	0	0.166666666666667	0	1	0.666666666666667	0.4	1
"DLBCL_RICOVER_977"	1	0.915223024666046	0.4	0	0.25	0	0	1.5	0	0.25	0	0	0	0	0	0.037037037037037	0	0	0	1	0	1	0.4	1
"DLBCL_RICOVER_290"	1	0.915573234421082	0.2	0	0.0833333333333333	0	0	1.5	0.111111111111111	0.25	0	0	0.5	0	0	0.0740740740740741	0	0	0.166666666666667	1	0	0.5	0.8	1
"DLBCL_MC_F927_JHS"	1	0.916635555560326	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0.037037037037037	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_111"	1	0.917363185382191	0	0	0	0	0.5	1	0.222222222222222	0.125	0	0	0.5	0	0	0.111111111111111	0.25	0	0.333333333333333	0	0	0.333333333333333	0	0
"DLBCL_RICOVER_216"	1	0.919691339225267	0	0	0	0	0.5	1.5	0.222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_978"	1	0.920705879042979	0.4	0	0.25	0	0	0.5	0.111111111111111	0	0	0	0.5	0	0	0.259259259259259	0.25	0	0.666666666666667	0	0	1	0.4	0
"DLBCL_RICOVER_197"	1	0.924642155332166	0	0	0.166666666666667	0	0	0.5	0	0	0	0	0	0	0	0.148148148148148	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_320"	1	0.929936736726121	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0.111111111111111	0.25	0	0	0	0	0	0	0
"DLBCL_LS762"	2	0.227746700583124	0	0.142857142857143	0.0833333333333333	0	0.5	1	0.222222222222222	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0
"DLBCL_C_D_1162_NULLPAIR"	2	0.527304444970041	0.1	0.142857142857143	0.125	0	0	0.5	0	0	0	0	0	0	0	0.0740740740740741	0.25	0	0.333333333333333	0	0	0	0	0
"DLBCL_LS3615"	2	0.585111294771976	0	0	0	0	0	1	0	0	0	0	0	0	0	0.037037037037037	0.25	0	0	0	0	0	0	0
"DLBCL_C_D_1113_NULLPAIR"	2	0.586374159870723	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0.0740740740740741	0.25	0	0.333333333333333	0	0	0	0	0
"DLBCL_RICOVER_463"	2	0.718741022738775	0	0.142857142857143	0.0833333333333333	0	0	0.5	0	0	0	0	0.5	0	0	0.111111111111111	0.25	0	0.333333333333333	0	0	0	0	0
"DLBCL_RICOVER_1283"	2	0.756446864106777	0	0	0.0416666666666667	0	0	0.5	0	0	0	0	0	0	0	0.185185185185185	0.25	1	0.333333333333333	0	0	0	0	0
"DLBCL_MC_F349_BJJ"	2	0.804295108096634	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.111111111111111	0.25	1	0.666666666666667	0	0	0	0	0
"DLBCL_LS4619"	2	0.815980116338567	0.2	0.142857142857143	0.166666666666667	0	0	0.5	0	0.25	1	0	0.5	0	0	0.222222222222222	0	1	0	0	0	0	0	0
"DLBCL_RICOVER_1046"	2	0.833374577866518	0	0	0	0	0.5	0.5	0.333333333333333	0	0	0	0	0	1	0.444444444444444	0.125	0.6	0.666666666666667	0	0	0	0	0
"DLBCL_LS3820"	2	0.848049525623881	0	0	0.0833333333333333	0	0	0.5	0.111111111111111	0	0	0	0.5	0	0	0.037037037037037	0	1	0	0	0	0	0	0
"DLBCL_MC_F362_MJB1"	2	0.857843071143754	0	0	0.0833333333333333	0	0	0.5	0	0.25	1	0	0	0	0.333333333333333	0.296296296296296	0	0.6	0.666666666666667	0	0	0	0	0
"DLBCL_MAYO_DLBCL_234"	2	0.859680350419031	0.4	0.142857142857143	0.25	0	0	0.5	0	0.5	0	0	1	0	0	0.0740740740740741	0.25	0	0.666666666666667	0	0	0.333333333333333	0	0
"DLBCL_RICOVER_269"	2	0.863394099213368	0	0.285714285714286	0.166666666666667	0	0.5	0.5	0.222222222222222	0	0	0	0	0	0	0.259259259259259	0	1	0.333333333333333	0	0	0	0	0
"DLBCL_LS297"	2	0.865971217139916	0.2	0.142857142857143	0.25	0	0	0.5	0.111111111111111	0	0	0	0	0	0	0.148148148148148	0.375	1	0.666666666666667	0	0	0	0	0
"DLBCL_LS4618"	2	0.872874959234507	0	0.142857142857143	0.0833333333333333	0	0	0.5	0	0	0	0	0	0	0.666666666666667	0	0	1	0.333333333333333	0	0	0	0	0
"DLBCL_LS1395"	2	0.873231342366961	0	0.142857142857143	0.0833333333333333	0	0	1	0	0	0	0	0	0	1	0.222222222222222	0	0.8	0.666666666666667	0	0	0	0	0
