Sample,maxVal,correct,predictedCluster,trueCluster
dlbcl_ricover_910,0.2974,TRUE,1,1
dlbcl_c_d_1146_nullpair,0.3226,FALSE,5,1
dlbcl_c_d_1112_nullpair,0.3276,FALSE,4,1
dlbcl_ricover_826,0.3358,TRUE,1,1
dlbcl_ls2595,0.3402,FALSE,2,1
dlbcl_ricover_473,0.358,TRUE,1,1
dlbcl_bwh_dlbcl64,0.3584,TRUE,1,1
dfcidl001_dt,0.361,TRUE,1,1
dlbcl_ricover_865,0.3698,TRUE,1,1
dlbcl_ricover_478,0.375,FALSE,4,1
dlbcl_ricover_575,0.3814,TRUE,1,1
dlbcl_ls3809,0.389,TRUE,1,1
dlbcl_ls3866,0.4042,FALSE,5,1
dlbcl_ricover_181,0.4086,TRUE,1,1
dlbcl_ricover_1150,0.4126,TRUE,1,1
dlbcl_c_d_1132_nullpair,0.4144,FALSE,5,1
dlbcl_c_d_1106_nullpair,0.4148,FALSE,3,1
dfcidl004_dt,0.4222,FALSE,4,1
dlbcl_ls2367,0.4342,TRUE,1,1
dlbcl_ricover_829,0.4404,TRUE,1,1
dlbcl_mc_f648_jkw,0.4492,TRUE,1,1
dlbcl_ls2154,0.4512,FALSE,5,1
dlbcl_ricover_120,0.4624,TRUE,1,1
dlbcl_c_d_1154_nullpair,0.4652,TRUE,1,1
dlbcl_mc_f139_ad,0.485,TRUE,1,1
dlbcl_c_d_1123_nullpair,0.511,TRUE,1,1
dlbcl_ls2978,0.5258,TRUE,1,1
dlbcl_ls1757,0.554,TRUE,1,1
dlbcl_ricover_694,0.5794,TRUE,1,1
dlbcl_c_d_1130_nullpair,0.5846,TRUE,1,1
dlbcl_ricover_1144,0.5888,TRUE,1,1
dlbcl_mayo_dlbcl_5613,0.5918,TRUE,1,1
dlbcl_ls378,0.5984,TRUE,1,1
dfcidl010_dt,0.6052,TRUE,1,1
dlbcl_c_d_1128_nullpair,0.6058,TRUE,1,1
dlbcl_mc_f132_mlm,0.6236,TRUE,1,1
dlbcl_c_d_1155_nullpair,0.624,TRUE,1,1
dlbcl_ricover_290,0.6904,TRUE,1,1
dlbcl_c_d_1114_nullpair,0.745,TRUE,1,1
dlbcl_ricover_978,0.2674,FALSE,5,2
dlbcl_mc_f927_jhs,0.2792,FALSE,1,2
dlbcl_ricover_197,0.3016,FALSE,5,2
dlbcl_c_d_1162_nullpair,0.3088,FALSE,4,2
dlbcl_ricover_463,0.35,TRUE,2,2
dlbcl_mc_f362_mjb1,0.355,TRUE,2,2
dlbcl_mayo_dlbcl_234,0.362,TRUE,2,2
dlbcl_ricover_111,0.3642,FALSE,1,2
dlbcl_ls2245,0.3932,TRUE,2,2
dlbcl_ricover_216,0.3946,FALSE,4,2
dlbcl_ls2599,0.4078,TRUE,2,2
dlbcl_ricover_384,0.4098,FALSE,3,2
dlbcl_ls2325,0.4306,TRUE,2,2
dlbcl_ricover_1046,0.4412,FALSE,3,2
dlbcl_ls2305,0.4522,TRUE,2,2
dlbcl_ricover_208,0.4566,FALSE,3,2
dlbcl_ls3615,0.4714,TRUE,2,2
dfcidl009_dt,0.4742,TRUE,2,2
dlbcl_ricover_440,0.4972,TRUE,2,2
dlbcl_c_d_1113_nullpair,0.4998,TRUE,2,2
dlbcl_ricover_269,0.505,TRUE,2,2
dlbcl_ls762,0.5098,TRUE,2,2
dlbcl_ls4593,0.5248,TRUE,2,2
dlbcl_ls4616,0.5314,TRUE,2,2
dlbcl_ricover_320,0.5326,FALSE,3,2
dlbcl_ricover_577,0.543,TRUE,2,2
dlbcl_ls1098,0.5702,TRUE,2,2
dlbcl_c_d_1110_nullpair,0.5706,TRUE,2,2
dlbcl_mc_f606_dmj,0.5812,TRUE,2,2
dlbcl_ls4619,0.587,TRUE,2,2
