Sample,maxVal,correct,predictedCluster,trueCluster
dlbcl_ls2154,0.2616,FALSE,2,1
dlbcl_ls2595,0.3058,FALSE,2,1
dlbcl_ls2367,0.3136,TRUE,1,1
dlbcl_ricover_910,0.3204,FALSE,2,1
dlbcl_ricover_826,0.332,TRUE,1,1
dlbcl_ls3809,0.3336,TRUE,1,1
dlbcl_c_d_1112_nullpair,0.3522,FALSE,4,1
dlbcl_ricover_575,0.3592,FALSE,5,1
dlbcl_c_d_1106_nullpair,0.3704,TRUE,1,1
dlbcl_ricover_865,0.3712,TRUE,1,1
dlbcl_bwh_dlbcl64,0.3814,TRUE,1,1
dfcidl001_dt,0.3818,TRUE,1,1
dlbcl_ricover_181,0.3874,TRUE,1,1
dlbcl_ricover_473,0.3928,TRUE,1,1
dlbcl_ls3866,0.3974,FALSE,5,1
dlbcl_ricover_1150,0.399,TRUE,1,1
dlbcl_ricover_478,0.3994,FALSE,4,1
dlbcl_c_d_1146_nullpair,0.4022,FALSE,5,1
dlbcl_ricover_120,0.4292,TRUE,1,1
dlbcl_c_d_1154_nullpair,0.4342,TRUE,1,1
dlbcl_ls1757,0.4416,TRUE,1,1
dlbcl_c_d_1132_nullpair,0.4416,TRUE,1,1
dfcidl004_dt,0.4718,FALSE,4,1
dlbcl_ls2978,0.5108,TRUE,1,1
dlbcl_c_d_1123_nullpair,0.5282,TRUE,1,1
dlbcl_ricover_1144,0.5312,TRUE,1,1
dlbcl_ricover_694,0.5336,TRUE,1,1
dlbcl_ricover_829,0.5348,TRUE,1,1
dlbcl_mc_f648_jkw,0.5396,TRUE,1,1
dlbcl_mc_f139_ad,0.545,TRUE,1,1
dlbcl_c_d_1130_nullpair,0.562,TRUE,1,1
dlbcl_mayo_dlbcl_5613,0.5906,TRUE,1,1
dlbcl_mc_f132_mlm,0.5922,TRUE,1,1
dlbcl_ls378,0.655,TRUE,1,1
dfcidl010_dt,0.6658,TRUE,1,1
dlbcl_c_d_1155_nullpair,0.728,TRUE,1,1
dlbcl_c_d_1128_nullpair,0.7468,TRUE,1,1
dlbcl_c_d_1114_nullpair,0.7516,TRUE,1,1
dlbcl_ricover_290,0.7558,TRUE,1,1
dlbcl_ricover_978,0.2778,FALSE,1,2
dlbcl_ricover_320,0.309,TRUE,2,2
dlbcl_ricover_111,0.3164,TRUE,2,2
dlbcl_ls2245,0.3364,TRUE,2,2
dlbcl_mayo_dlbcl_234,0.3378,FALSE,5,2
dlbcl_c_d_1162_nullpair,0.3462,FALSE,4,2
dlbcl_ricover_1046,0.3572,FALSE,3,2
dlbcl_ricover_197,0.3688,TRUE,2,2
dlbcl_ls2325,0.4008,TRUE,2,2
dlbcl_ricover_216,0.406,FALSE,4,2
dlbcl_mc_f927_jhs,0.4102,FALSE,1,2
dlbcl_ricover_384,0.422,TRUE,2,2
dlbcl_mc_f362_mjb1,0.4312,TRUE,2,2
dfcidl009_dt,0.4454,TRUE,2,2
dlbcl_ricover_577,0.4456,TRUE,2,2
dlbcl_ls2599,0.4568,TRUE,2,2
dlbcl_ls2305,0.4582,TRUE,2,2
dlbcl_ls4593,0.469,TRUE,2,2
dlbcl_ls3615,0.469,TRUE,2,2
dlbcl_ricover_463,0.4698,TRUE,2,2
dlbcl_ls762,0.4896,TRUE,2,2
dlbcl_ricover_208,0.4996,FALSE,3,2
