Sample,maxVal,correct,predictedCluster,trueCluster
dlbcl_c_d_1146_nullpair,0.3588,FALSE,5,1
dlbcl_ls2154,0.378,FALSE,5,1
dfcidl001_dt,0.4016,TRUE,1,1
dlbcl_ricover_181,0.4262,TRUE,1,1
dlbcl_ricover_826,0.4656,FALSE,5,1
dlbcl_ricover_910,0.4666,TRUE,1,1
dlbcl_ls2367,0.4724,TRUE,1,1
dfcidl004_dt,0.489,TRUE,1,1
dlbcl_ls1757,0.4908,TRUE,1,1
dlbcl_ls3866,0.4932,TRUE,1,1
dlbcl_ls2978,0.5152,TRUE,1,1
dlbcl_ricover_473,0.516,TRUE,1,1
dlbcl_c_d_1106_nullpair,0.5196,FALSE,3,1
dlbcl_ricover_1144,0.5202,TRUE,1,1
dlbcl_ls3809,0.5468,TRUE,1,1
dlbcl_c_d_1112_nullpair,0.5572,TRUE,1,1
dlbcl_mc_f648_jkw,0.584,TRUE,1,1
dlbcl_bwh_dlbcl64,0.595,FALSE,5,1
dlbcl_c_d_1114_nullpair,0.6096,TRUE,1,1
dlbcl_ricover_120,0.6142,TRUE,1,1
dlbcl_mc_f139_ad,0.617,FALSE,5,1
dlbcl_ricover_1150,0.6616,TRUE,1,1
dlbcl_ricover_575,0.6706,TRUE,1,1
dlbcl_mc_f132_mlm,0.683,TRUE,1,1
dlbcl_c_d_1154_nullpair,0.698,TRUE,1,1
dlbcl_c_d_1155_nullpair,0.7192,TRUE,1,1
dlbcl_ricover_829,0.7358,TRUE,1,1
dlbcl_ricover_865,0.747,TRUE,1,1
dlbcl_ricover_290,0.8146,TRUE,1,1
dlbcl_c_d_1132_nullpair,0.8174,TRUE,1,1
dlbcl_ls2595,0.8198,TRUE,1,1
dlbcl_c_d_1128_nullpair,0.8204,TRUE,1,1
dlbcl_ls378,0.8556,TRUE,1,1
dlbcl_mayo_dlbcl_5613,0.8638,TRUE,1,1
dlbcl_ricover_478,0.8676,FALSE,4,1
dfcidl010_dt,0.9162,TRUE,1,1
dlbcl_ricover_694,0.921,TRUE,1,1
dlbcl_c_d_1130_nullpair,0.9472,TRUE,1,1
dlbcl_c_d_1123_nullpair,0.9472,TRUE,1,1
dlbcl_ricover_197,0.2974,FALSE,5,2
dlbcl_ls4619,0.2998,TRUE,2,2
dlbcl_mc_f927_jhs,0.3272,FALSE,1,2
dlbcl_mayo_dlbcl_234,0.3306,TRUE,2,2
dlbcl_ls4593,0.344,TRUE,2,2
dlbcl_ls762,0.3724,TRUE,2,2
dlbcl_ls3615,0.378,TRUE,2,2
dlbcl_mc_f815_bat,0.384,TRUE,2,2
dlbcl_ricover_216,0.423,FALSE,4,2
dlbcl_c_d_1141_nullpair,0.439,TRUE,2,2
dlbcl_ls2245,0.4588,TRUE,2,2
dlbcl_ricover_320,0.4748,FALSE,3,2
dlbcl_ricover_978,0.4758,TRUE,2,2
dlbcl_mc_f362_mjb1,0.4794,FALSE,3,2
dlbcl_ls2599,0.4852,TRUE,2,2
dlbcl_ricover_440,0.4874,FALSE,3,2
dlbcl_ricover_577,0.506,TRUE,2,2
dlbcl_ls2325,0.5102,TRUE,2,2
dlbcl_ls155,0.5172,FALSE,5,2
dlbcl_ricover_111,0.5182,TRUE,2,2
dlbcl_c_d_1110_nullpair,0.5198,TRUE,2,2
dlbcl_ls1098,0.553,TRUE,2,2
dlbcl_ls2305,0.5712,TRUE,2,2
