"Sample","maxVal","correct","predictedCluster","trueCluster"
"dlbcl_ricover_910","DLBCL_RICOVER_910",0.305977374315262,TRUE,1,1
"dlbcl_c_d_1111_nullpair","DLBCL_C_D_1111_NULLPAIR",0.307167172431946,FALSE,4,3
"dlbcl_mc_f927_jhs","DLBCL_MC_F927_JHS",0.313214957714081,FALSE,3,2
"dlbcl_ls4054","DLBCL_LS4054",0.342515558004379,TRUE,3,3
"dlbcl_ricover_197","DLBCL_RICOVER_197",0.378146916627884,FALSE,5,2
"dlbcl_ricover_431","DLBCL_RICOVER_431",0.393762558698654,FALSE,5,4
"dlbcl_ricover_597","DLBCL_RICOVER_597",0.394302278757095,TRUE,5,5
"dlbcl_mc_f815_bat","DLBCL_MC_F815_BAT",0.402609527111053,TRUE,2,2
"dlbcl_ricover_408","DLBCL_RICOVER_408",0.405663371086121,FALSE,3,5
"dlbcl_ricover_1169","DLBCL_RICOVER_1169",0.409840434789658,TRUE,3,3
"dlbcl_ls762","DLBCL_LS762",0.42608243227005,TRUE,2,2
"dlbcl_mc_f959_erm","DLBCL_MC_F959_ERM",0.441084265708923,FALSE,1,3
"dlbcl_ls2328","DLBCL_LS2328",0.452735215425491,FALSE,2,3
"dlbcl_ricover_1204","DLBCL_RICOVER_1204",0.465526938438416,TRUE,4,4
"dlbcl_ricover_1235","DLBCL_RICOVER_1235",0.471044629812241,TRUE,3,3
"dlbcl_ls2595","DLBCL_LS2595",0.474271237850189,TRUE,1,1
"dlbcl_ls2089","DLBCL_LS2089",0.474734425544739,TRUE,3,3
"dlbcl_c_d_1135_nullpair","DLBCL_C_D_1135_NULLPAIR",0.477885574102402,FALSE,1,3
"dlbcl_ricover_342","DLBCL_RICOVER_342",0.479821592569351,TRUE,5,5
"dlbcl_ls3387","DLBCL_LS3387",0.483536124229431,FALSE,2,5
"dfcidl008_dt","DFCIDL008_DT",0.49928292632103,FALSE,2,4
"dlbcl_c_d_1138_nullpair","DLBCL_C_D_1138_NULLPAIR",0.505460858345032,FALSE,4,5
"dlbcl_dfci_dlbcl_goe05","DLBCL_DFCI_DLBCL_GOE05",0.519749283790588,TRUE,3,3
"dlbcl_ls1668","DLBCL_LS1668",0.524993598461151,TRUE,3,3
"dlbcl_mc_f210_gwc","DLBCL_MC_F210_GWC",0.555361747741699,TRUE,3,3
"dlbcl_ls155","DLBCL_LS155",0.564520239830017,FALSE,5,2
"dlbcl_ls4619","DLBCL_LS4619",0.564753592014313,TRUE,2,2
"dlbcl_c_d_1132_nullpair","DLBCL_C_D_1132_NULLPAIR",0.565291941165924,TRUE,1,1
"dlbcl_mayo_dlbcl_3653","DLBCL_MAYO_DLBCL_3653",0.573895692825317,FALSE,4,5
"dlbcl_ricover_1190","DLBCL_RICOVER_1190",0.57390946149826,FALSE,2,4
"dlbcl_ricover_1060","DLBCL_RICOVER_1060",0.575983941555023,TRUE,3,3
"dlbcl_ricover_126","DLBCL_RICOVER_126",0.580654442310333,FALSE,2,3
"dlbcl_ricover_320","DLBCL_RICOVER_320",0.585217595100403,TRUE,2,2
"dlbcl_ls1921","DLBCL_LS1921",0.592845439910889,TRUE,3,3
"dlbcl_ricover_787","DLBCL_RICOVER_787",0.599642336368561,FALSE,2,3
"dlbcl_c_d_1118_nullpair","DLBCL_C_D_1118_NULLPAIR",0.601792693138123,TRUE,3,3
"dlbcl_ls3866","DLBCL_LS3866",0.604005336761475,FALSE,5,1
"dfcidl003_dt","DFCIDL003_DT",0.613253474235535,TRUE,3,3
"dlbcl_mc_f739_ama3","DLBCL_MC_F739_AMA3",0.613382041454315,TRUE,3,3
"dlbcl_c_d_1154_nullpair","DLBCL_C_D_1154_NULLPAIR",0.615470230579376,TRUE,1,1
"dlbcl_ls2367","DLBCL_LS2367",0.616745114326477,TRUE,1,1
"dlbcl_mayo_dlbcl_234","DLBCL_MAYO_DLBCL_234",0.61970043182373,FALSE,5,2
"dlbcl_ricover_105","DLBCL_RICOVER_105",0.620498657226562,FALSE,3,4
"dlbcl_c_d_1105_nullpair","DLBCL_C_D_1105_NULLPAIR",0.626772046089172,TRUE,4,4
"dlbcl_ls2154","DLBCL_LS2154",0.626844108104706,FALSE,5,1
"dlbcl_ls3204","DLBCL_LS3204",0.630141973495483,TRUE,3,3
"dlbcl_ricover_575","DLBCL_RICOVER_575",0.639904201030731,TRUE,1,1
"dlbcl_c_d_1112_nullpair","DLBCL_C_D_1112_NULLPAIR",0.64745169878006,TRUE,1,1
"dlbcl_ricover_978","DLBCL_RICOVER_978",0.654841542243958,FALSE,1,2
