"Sample","maxVal","correct","predictedCluster","trueCluster"
"dlbcl_mc_f927_jhs","DLBCL_MC_F927_JHS",0.270328283309937,TRUE,2,2
"dlbcl_c_d_1111_nullpair","DLBCL_C_D_1111_NULLPAIR",0.281124085187912,FALSE,1,3
"dlbcl_ls4054","DLBCL_LS4054",0.315923571586609,FALSE,5,3
"dlbcl_ls2595","DLBCL_LS2595",0.351618319749832,TRUE,1,1
"dlbcl_ricover_1081","DLBCL_RICOVER_1081",0.390533775091171,FALSE,2,5
"dlbcl_c_d_1138_nullpair","DLBCL_C_D_1138_NULLPAIR",0.390696913003922,TRUE,5,5
"dlbcl_ricover_787","DLBCL_RICOVER_787",0.398475825786591,FALSE,2,3
"dlbcl_ricover_910","DLBCL_RICOVER_910",0.416565388441086,FALSE,5,1
"dlbcl_ricover_105","DLBCL_RICOVER_105",0.416643589735031,FALSE,3,4
"dlbcl_ricover_1299","DLBCL_RICOVER_1299",0.423984676599503,FALSE,4,5
"dlbcl_ricover_120","DLBCL_RICOVER_120",0.425552427768707,TRUE,1,1
"dlbcl_ricover_1169","DLBCL_RICOVER_1169",0.435695171356201,TRUE,3,3
"dlbcl_mc_f990_mna","DLBCL_MC_F990_MNA",0.450760841369629,TRUE,3,3
"dlbcl_ls951","DLBCL_LS951",0.454425513744354,TRUE,5,5
"dlbcl_ricover_678","DLBCL_RICOVER_678",0.46400198340416,TRUE,3,3
"dlbcl_ls88","DLBCL_LS88",0.464104384183884,FALSE,2,3
"dfcidl008_dt","DFCIDL008_DT",0.483000785112381,TRUE,4,4
"dlbcl_ricover_1190","DLBCL_RICOVER_1190",0.484886884689331,FALSE,1,4
"dlbcl_ls2328","DLBCL_LS2328",0.49255633354187,TRUE,3,3
"dlbcl_ricover_342","DLBCL_RICOVER_342",0.495257198810577,TRUE,5,5
"dlbcl_dfci_dlbcl_goe05","DLBCL_DFCI_DLBCL_GOE05",0.500017881393433,FALSE,4,3
"dlbcl_ricover_431","DLBCL_RICOVER_431",0.502332329750061,FALSE,5,4
"dlbcl_ricover_711","DLBCL_RICOVER_711",0.506370484828949,FALSE,1,5
"dlbcl_ricover_780","DLBCL_RICOVER_780",0.508131384849548,TRUE,3,3
"dlbcl_ls762","DLBCL_LS762",0.508469104766846,FALSE,4,2
"dlbcl_mayo_dlbcl_3653","DLBCL_MAYO_DLBCL_3653",0.519381523132324,FALSE,4,5
"dlbcl_mayo_dlbcl_234","DLBCL_MAYO_DLBCL_234",0.527475714683533,FALSE,5,2
"dlbcl_ricover_299","DLBCL_RICOVER_299",0.551268219947815,FALSE,2,3
"dlbcl_ls2154","DLBCL_LS2154",0.553901314735413,FALSE,5,1
"dlbcl_ricover_473","DLBCL_RICOVER_473",0.557446002960205,FALSE,4,1
"dlbcl_c_d_1105_nullpair","DLBCL_C_D_1105_NULLPAIR",0.565887749195099,TRUE,4,4
"dlbcl_ls1668","DLBCL_LS1668",0.569508254528046,FALSE,2,3
"dlbcl_ls3387","DLBCL_LS3387",0.571875751018524,TRUE,5,5
"dlbcl_ls3866","DLBCL_LS3866",0.576874017715454,FALSE,5,1
"dlbcl_mc_f210_gwc","DLBCL_MC_F210_GWC",0.579011559486389,TRUE,3,3
"dlbcl_c_d_1132_nullpair","DLBCL_C_D_1132_NULLPAIR",0.579901993274689,FALSE,5,1
"dlbcl_ricover_575","DLBCL_RICOVER_575",0.582769453525543,TRUE,1,1
"dlbcl_mc_f739_ama3","DLBCL_MC_F739_AMA3",0.584847688674927,FALSE,2,3
"dlbcl_ricover_1046","DLBCL_RICOVER_1046",0.590019345283508,FALSE,3,2
"dlbcl_ricover_1060","DLBCL_RICOVER_1060",0.590640127658844,TRUE,3,3
"dlbcl_ls3809","DLBCL_LS3809",0.595378637313843,FALSE,4,1
"dlbcl_c_d_1112_nullpair","DLBCL_C_D_1112_NULLPAIR",0.598516523838043,TRUE,1,1
"dlbcl_ls2367","DLBCL_LS2367",0.607797205448151,FALSE,5,1
"dlbcl_ls3309","DLBCL_LS3309",0.609203934669495,FALSE,2,3
"dlbcl_ricover_408","DLBCL_RICOVER_408",0.612449467182159,FALSE,3,5
"dlbcl_c_d_1106_nullpair","DLBCL_C_D_1106_NULLPAIR",0.615297198295593,FALSE,3,1
"dlbcl_c_d_1108_nullpair","DLBCL_C_D_1108_NULLPAIR",0.62702614068985,TRUE,3,3
"dlbcl_c_d_1154_nullpair","DLBCL_C_D_1154_NULLPAIR",0.628522574901581,FALSE,3,1
"dlbcl_ricover_126","DLBCL_RICOVER_126",0.635030627250671,FALSE,2,3
"dlbcl_ls2264","DLBCL_LS2264",0.638573467731476,FALSE,4,5
"dlbcl_c_d_1146_nullpair","DLBCL_C_D_1146_NULLPAIR",0.639926254749298,FALSE,5,1
"dlbcl_c_d_1118_nullpair","DLBCL_C_D_1118_NULLPAIR",0.647309482097626,TRUE,3,3
"dlbcl_ricover_197","DLBCL_RICOVER_197",0.647996604442596,FALSE,5,2
"dlbcl_ricover_111","DLBCL_RICOVER_111",0.648807048797607,TRUE,2,2
"dlbcl_ricover_208","DLBCL_RICOVER_208",0.668424308300018,FALSE,3,2
"dlbcl_ricover_978","DLBCL_RICOVER_978",0.671477735042572,FALSE,1,2
"dlbcl_ls155","DLBCL_LS155",0.677898168563843,FALSE,5,2
"dlbcl_ricover_320","DLBCL_RICOVER_320",0.679451167583466,TRUE,2,2
"dlbcl_ricover_773","DLBCL_RICOVER_773",0.695080101490021,TRUE,4,4
"dlbcl_ricover_866","DLBCL_RICOVER_866",0.695452153682709,FALSE,2,5
"dlbcl_c_d_1104_nullpair","DLBCL_C_D_1104_NULLPAIR",0.69722443819046,TRUE,4,4
"dlbcl_ricover_822","DLBCL_RICOVER_822",0.700246751308441,TRUE,3,3
"dlbcl_ricover_1235","DLBCL_RICOVER_1235",0.701687157154083,TRUE,3,3
"dlbcl_ls1921","DLBCL_LS1921",0.70499312877655,TRUE,3,3
"dlbcl_ricover_1278","DLBCL_RICOVER_1278",0.713130354881287,FALSE,5,4
"dlbcl_ricover_1045","DLBCL_RICOVER_1045",0.724873840808868,TRUE,5,5
"dlbcl_ricover_506","DLBCL_RICOVER_506",0.72591233253479,FALSE,3,4
"dlbcl_c_d_1153_nullpair","DLBCL_C_D_1153_NULLPAIR",0.731443822383881,TRUE,5,5
"dlbcl_ricover_1018","DLBCL_RICOVER_1018",0.741380512714386,TRUE,5,5
"dlbcl_ls2208","DLBCL_LS2208",0.742720484733582,TRUE,4,4
"dlbcl_c_d_1140_nullpair","DLBCL_C_D_1140_NULLPAIR",0.746436178684235,TRUE,4,4
"dlbcl_mc_f362_mjb1","DLBCL_MC_F362_MJB1",0.748008489608765,TRUE,2,2
"dlbcl_mc_f648_jkw","DLBCL_MC_F648_JKW",0.750331103801727,TRUE,1,1
"dlbcl_ricover_763","DLBCL_RICOVER_763",0.751394271850586,FALSE,3,4
"dlbcl_mc_f139_ad","DLBCL_MC_F139_AD",0.753007650375366,FALSE,5,1
"dlbcl_ricover_597","DLBCL_RICOVER_597",0.758894801139832,FALSE,4,5
"dlbcl_c_d_1155_nullpair","DLBCL_C_D_1155_NULLPAIR",0.763707280158997,TRUE,1,1
"dfcidl003_dt","DFCIDL003_DT",0.763753890991211,TRUE,3,3
"dfcidl009_dt","DFCIDL009_DT",0.766196250915527,TRUE,2,2
"dlbcl_ricover_151","DLBCL_RICOVER_151",0.767554402351379,TRUE,5,5
"dlbcl_ricover_533","DLBCL_RICOVER_533",0.77006983757019,TRUE,3,3
"dlbcl_c_d_1109_nullpair","DLBCL_C_D_1109_NULLPAIR",0.778693854808807,TRUE,5,5
"dlbcl_ricover_102","DLBCL_RICOVER_102",0.780115246772766,TRUE,5,5
"dlbcl_c_d_1162_nullpair","DLBCL_C_D_1162_NULLPAIR",0.782163083553314,TRUE,2,2
"dlbcl_c_d_1120_nullpair","DLBCL_C_D_1120_NULLPAIR",0.783785581588745,TRUE,4,4
"dlbcl_ricover_1165","DLBCL_RICOVER_1165",0.78616189956665,TRUE,3,3
"dlbcl_ls2089","DLBCL_LS2089",0.787036657333374,TRUE,3,3
"dfcidl004_dt","DFCIDL004_DT",0.793858885765076,TRUE,1,1
"dlbcl_ricover_577","DLBCL_RICOVER_577",0.795320510864258,TRUE,2,2
"dlbcl_ls3808","DLBCL_LS3808",0.795506000518799,TRUE,5,5
"dlbcl_ls3615","DLBCL_LS3615",0.800648331642151,TRUE,2,2
"dlbcl_c_d_1152_nullpair","DLBCL_C_D_1152_NULLPAIR",0.803052663803101,TRUE,3,3
"dlbcl_ls1304","DLBCL_LS1304",0.807347118854523,TRUE,4,4
"dlbcl_ricover_1204","DLBCL_RICOVER_1204",0.810713410377502,TRUE,4,4
"dlbcl_c_d_1163_nullpair","DLBCL_C_D_1163_NULLPAIR",0.818285048007965,TRUE,4,4
"dlbcl_ricover_829","DLBCL_RICOVER_829",0.827241897583008,TRUE,1,1
"dlbcl_mc_f815_bat","DLBCL_MC_F815_BAT",0.829907655715942,TRUE,2,2
"dlbcl_ricover_1144","DLBCL_RICOVER_1144",0.831406235694885,TRUE,1,1
"dlbcl_mc_f089_hcz","DLBCL_MC_F089_HCZ",0.833144843578339,TRUE,3,3
"dlbcl_ls3204","DLBCL_LS3204",0.834727048873901,TRUE,3,3
"dlbcl_c_d_1148_nullpair","DLBCL_C_D_1148_NULLPAIR",0.839905261993408,TRUE,5,5
"dlbcl_ricover_839","DLBCL_RICOVER_839",0.842359900474548,TRUE,3,3
"dlbcl_ricover_173","DLBCL_RICOVER_173",0.8424232006073,TRUE,4,4
"dlbcl_ricover_1287","DLBCL_RICOVER_1287",0.842988610267639,TRUE,4,4
"dlbcl_c_d_1131_nullpair","DLBCL_C_D_1131_NULLPAIR",0.849848747253418,TRUE,3,3
"dfcidl001_dt","DFCIDL001_DT",0.851858019828796,TRUE,1,1
"dlbcl_c_d_1135_nullpair","DLBCL_C_D_1135_NULLPAIR",0.853140354156494,TRUE,3,3
"dlbcl_ricover_1032","DLBCL_RICOVER_1032",0.855384945869446,TRUE,4,4
"dlbcl_ricover_325","DLBCL_RICOVER_325",0.855765402317047,TRUE,3,3
"dlbcl_mayo_dlbcl_7359","DLBCL_MAYO_DLBCL_7359",0.85783976316452,TRUE,3,3
"dlbcl_ricover_361","DLBCL_RICOVER_361",0.860094010829926,TRUE,5,5
"dlbcl_ricover_216","DLBCL_RICOVER_216",0.861543893814087,FALSE,4,2
"dlbcl_ls2258","DLBCL_LS2258",0.86352276802063,TRUE,3,3
"dlbcl_c_d_1142_nullpair","DLBCL_C_D_1142_NULLPAIR",0.864939868450165,TRUE,4,4
"dlbcl_ricover_148","DLBCL_RICOVER_148",0.866492569446564,TRUE,5,5
"dlbcl_ricover_1138","DLBCL_RICOVER_1138",0.868968307971954,TRUE,5,5
"dlbcl_ls1899","DLBCL_LS1899",0.869466662406921,TRUE,5,5
"dlbcl_ricover_1150","DLBCL_RICOVER_1150",0.872063755989075,TRUE,1,1
"dlbcl_ricover_826","DLBCL_RICOVER_826",0.874157130718231,TRUE,1,1
"dlbcl_ricover_1210","DLBCL_RICOVER_1210",0.877172291278839,TRUE,3,3
"dlbcl_ricover_338","DLBCL_RICOVER_338",0.877923309803009,TRUE,5,5
"dlbcl_ls148","DLBCL_LS148",0.879063963890076,TRUE,4,4
"dlbcl_c_d_1130_nullpair","DLBCL_C_D_1130_NULLPAIR",0.879615366458893,TRUE,1,1
"dlbcl_mc_f959_erm","DLBCL_MC_F959_ERM",0.879694223403931,TRUE,3,3
